name,online_order,book_table,rate,votes,rest_type,cuisines,cost,locality
Jalsa,Yes,Yes,4.1,775,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Banashankari
Spice Elephant,Yes,No,4.1,787,Casual Dining,"Chinese, North Indian, Thai",800.0,Banashankari
San Churro Cafe,Yes,No,3.8,918,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Banashankari
Addhuri Udupi Bhojana,No,No,3.7,88,Quick Bites,"South Indian, North Indian",300.0,Banashankari
Grand Village,No,No,3.8,166,Casual Dining,"North Indian, Rajasthani",600.0,Banashankari
Timepass Dinner,Yes,No,3.8,286,Casual Dining,North Indian,600.0,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Banashankari
Onesta,Yes,Yes,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Banashankari
Penthouse Cafe,Yes,No,4.0,324,Cafe,"Cafe, Italian, Continental",700.0,
Smacznego,Yes,No,4.2,504,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Banashankari
Caf???????????????????????????????? Down The Alley,Yes,No,4.1,402,Cafe,Cafe,500.0,Banashankari
Cafe Shuffle,Yes,Yes,4.2,150,Cafe,"Cafe, Italian, Continental",600.0,Banashankari
The Coffee Shack,Yes,Yes,4.2,164,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Banashankari
Caf-Eleven,No,No,4.0,424,Cafe,"Cafe, Continental",450.0,Banashankari
Cafe Vivacity,Yes,No,3.8,90,Cafe,Cafe,650.0,Banashankari
Catch-up-ino,Yes,No,3.9,133,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Banashankari
Kirthi's Biryani,Yes,No,3.8,144,Cafe,"Chinese, Cafe, Italian",700.0,Banashankari
T3H Cafe,No,No,3.9,93,Cafe,"Cafe, Italian, American",300.0,Banashankari
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Banashankari
The Vintage Cafe,Yes,No,3.0,62,Cafe,"Cafe, French, North Indian",400.0,Banashankari
Woodee Pizza,Yes,No,3.7,180,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Banashankari
Cafe Coffee Day,No,No,3.6,28,Cafe,"Cafe, Fast Food",900.0,Banashankari
My Tea House,Yes,No,3.6,62,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Banashankari
Hide Out Cafe,No,No,3.7,31,Cafe,Cafe,300.0,Banashankari
CAFE NOVA,No,No,3.2,11,Cafe,"Cafe, Bakery",600.0,Banashankari
Coffee Tindi,Yes,No,3.8,75,"Cafe, Quick Bites","Cafe, South Indian",200.0,Banashankari
Sea Green Cafe,No,No,3.3,4,Cafe,"Cafe, Fast Food, Beverages",500.0,Banashankari
Cuppa,No,No,3.3,23,Cafe,"Cafe, Fast Food",550.0,Banashankari
Srinathji's Cafe,No,No,3.8,148,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Banashankari
Redberrys,Yes,No,4.0,219,Cafe,"Cafe, Italian",600.0,Banashankari
Foodiction,Yes,No,2.8,506,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,
Sweet Truth,Yes,No,3.9,35,Delivery,"Bakery, Desserts",500.0,Banashankari
Ovenstory Pizza,Yes,No,3.9,172,Delivery,Pizza,750.0,Banashankari
Faasos,Yes,No,4.2,415,Quick Bites,"North Indian, Biryani, Fast Food",500.0,
Behrouz Biryani,Yes,No,3.9,230,Delivery,Biryani,650.0,Banashankari
Fast And Fresh,Yes,No,2.8,91,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Banashankari
Szechuan Dragon,Yes,No,4.2,1647,Casual Dining,"Chinese, Thai, Momos",600.0,Banashankari
Empire Restaurant,Yes,No,4.4,4884,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Quick Bites,South Indian,150.0,Banashankari
Chaatimes,Yes,No,3.8,133,Quick Bites,"Street Food, Fast Food",200.0,Banashankari
Havyaka Mess,No,No,3.9,28,Mess,South Indian,300.0,Banashankari
McDonald's,Yes,No,3.9,286,Quick Bites,"Burger, Fast Food",500.0,Banashankari
Domino's Pizza,Yes,No,3.9,540,Quick Bites,"Pizza, Fast Food",800.0,Banashankari
Onesta,Yes,Yes,4.6,2556,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,
Hotboxit,No,No,3.8,36,Delivery,"North Indian, Continental, Italian",400.0,Banashankari
Kitchen Garden,Yes,No,3.6,244,Quick Bites,"North Indian, Chinese",300.0,Banashankari
Recipe,Yes,No,4.0,804,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Banashankari
Beijing Bites,Yes,No,3.7,679,Casual Dining,"Chinese, Thai",850.0,Banashankari
Tasty Bytes,Yes,No,3.1,245,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Banashankari
Petoo,No,No,3.7,21,Quick Bites,North Indian,450.0,Banashankari
Shree Cool Point,Yes,No,4.1,28,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Banashankari
Corner House Ice Cream,No,No,4.3,345,Dessert Parlor,"Ice Cream, Desserts",400.0,Banashankari
Biryanis And More,Yes,No,4.0,618,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Banashankari
Roving Feast,No,No,4.0,1047,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,Banashankari
FreshMenu,Yes,No,3.9,627,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Banashankari
Banashankari Donne Biriyani,Yes,No,3.8,104,Quick Bites,"Biryani, Fast Food",300.0,Banashankari
Wamama,Yes,Yes,4.2,354,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,
Five Star Chicken,No,No,3.6,55,Quick Bites,"Fast Food, Burger",200.0,Banashankari
XO Belgian Waffle,Yes,No,3.7,17,Dessert Parlor,"Desserts, Beverages",400.0,Banashankari
